,ano,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,tipo_emissao,gas,atividade_economica,produto,emissao
242059,1979,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,563871.53
242060,1980,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,765708.73
242061,1981,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,732831.11
242062,1982,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,971650.76
242063,1983,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1153943.0
242064,1984,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,935179.3
242065,1985,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1092716.2
242066,1986,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1178440.6
242067,1987,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1067268.2
242068,1988,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1257913.3
242069,1989,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1197151.3
242070,1990,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1330168.1
242071,1991,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1393837.6
242072,1992,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1555911.7
242073,1993,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,1018365.8
242074,1994,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,761748.44
242075,1995,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,456508.81
242076,1996,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,529442.18
242077,1997,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,569960.71
242078,1998,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,655263.35
242079,1999,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,744308.74
242080,2000,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,784053.33
242081,2001,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,800156.0
242082,2002,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,276369.67
242083,2003,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,476184.06
242084,2004,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,459046.3
242085,2005,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,489090.16
242086,2006,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,224277.43
242087,2007,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,314110.85
242088,2008,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,470922.35
242089,2009,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,503886.92
242090,2010,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,2801544.0
242091,2011,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,2903222.2
242092,2012,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,3657110.0
242093,2013,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,4021074.9
242094,2014,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,4671908.7
242095,2015,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,4122237.6
242096,2016,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,3001893.8
242097,2017,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,2758391.8
242098,2018,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,2595185.8
242099,2019,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,2793315.5
242100,1970,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,172885.14
242101,1971,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,164905.83
242102,1972,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,183524.23
242103,1973,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,351089.82
242104,1974,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,388326.62
242105,1975,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,433542.73
242106,1976,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,446841.59
242107,1977,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,470779.53
242108,1978,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,492057.7
242109,1979,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,563871.53
242110,1980,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,765708.73
242111,1981,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,732831.11
242112,1982,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,971650.76
242113,1983,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1153943.0
242114,1984,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,935179.3
242115,1985,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1092716.2
242116,1986,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1178440.6
242117,1987,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1067268.2
242118,1988,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1257913.3
242119,1989,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1197151.3
242120,1990,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1330168.1
242121,1991,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1393837.6
242122,1992,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1555911.7
242123,1993,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,1018365.8
242124,1994,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,761748.44
242125,1995,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,456508.81
242126,1996,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,529442.18
242127,1997,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,569960.71
242128,1998,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,655263.35
242129,1999,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,744308.74
242130,2000,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,784053.33
242131,2001,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR4,PROD_COMB,,800156.0
